

2016年01月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03064X","元展59          ","0","0","0","--","--","--","--"," ","0","6.15","100","6.2","10","12.4"
="03065X","元展60          ","0","0","0","--","--","--","--"," ","0","13.7","10","13.8","10","27.35"
="030665","日盛L2          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","45","28.1"
="03066X","元展61          ","85000","12","409780","4.84","4.86","4.71","4.81","+","0.05","4.77","10","4.79","10","9.08"
="030679","4V元富          ","100000","2","1000","0.01","0.01","0.01","0.01"," ","0","--","0","0.01","30","226"
="03067X","元展62          ","32000","9","235750","8.9","8.9","7.1","7.2","-","1.9","7.2","10","7.3","10","62.3"
="030680","4W元富          ","0","0","0","--","--","--","--"," ","0","0.01","200","--","0","416"
="03068X","元展63          ","0","0","0","--","--","--","--"," ","0","14","10","14.3","10","122"
="03069X","元展64          ","0","0","0","--","--","--","--"," ","0","12.7","10","12.9","10","52.5"
="030706","03統一          ","295000","2","2950","0.01","0.01","0.01","0.01"," ","0","0.01","10","0.1","12","206"
="03070X","元展65          ","0","0","0","--","--","--","--"," ","0","8.95","10","9","10","39.55"
="030740","中信4S          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","150","24.6"
="030776","國泰IU          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","48","7.13"
="030784","5V元富          ","0","0","0","--","--","--","--"," ","0","0.01","25","0.03","74","66.7"
="030815","05統一          ","0","0","0","--","--","--","--"," ","0","0.01","1,758","0.05","261","66.7"
="030871","6B元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","90","0.00"
="030872","6C元富          ","100000","1","4000","0.04","0.04","0.04","0.04","X","0","0.02","200","0.04","25","18.6"
="030889","FJ凱基          ","0","0","0","--","--","--","--"," ","0","6.35","30","6.85","30","120"
="030905","10統一          ","637000","7","6370","0.01","0.01","0.01","0.01"," ","0","0.01","108","0.02","1","78.3"
="030906","11統一          ","476000","7","4760","0.01","0.01","0.01","0.01"," ","0","0.01","10","0.02","87","1830"
="030907","12統一          ","486000","21","36480","0.08","0.08","0.07","0.08"," ","0","0.07","153","0.08","7","1830"
="030922","中信4W          ","0","0","0","--","--","--","--"," ","0","0.06","30","0.1","30","133"
="030932","國泰JB          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","300","70.3"
="030934","國泰JD          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","24.6"
="031020","16統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.02","10","135"
="031047","國泰JH          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","49.8"
="031074","群益JC          ","0","0","0","--","--","--","--"," ","0","2.31","25","2.41","10","21.01"
="031075","群益JD          ","139000","15","280440","1.82","2.09","1.82","2.05","+","0.29","1.96","30","2.05","13","21.01"
="031157","中信5P          ","0","0","0","--","--","--","--"," ","0","--","0","0.04","10","70.3"
="031158","中信5Q          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","10","66.7"
="031159","中信5R          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","351","57.35"
="031161","HD凱基          ","82000","7","105860","1.17","1.48","1.17","1.4","+","0.39","1.33","30","1.43","30","21.01"
="031170","22統一          ","364000","1","3640","0.01","0.01","0.01","0.01"," ","0","--","0","0.01","199","226"
="031196","8B元富          ","0","0","0","--","--","--","--"," ","0","0.01","25","0.1","25","16.02"
